Sentence,Language
Omkring 1970 kom allt levande istället att delas in i fem riken:,sv
Les pionniers de la modélisation scientifique parmi lesquels le Français Descartes et plusieurs expérimentateurs des Pays-Bas ou d'Angleterre contribuent à diffuser les bases de la physique mathématisée qui atteint son apogée en Angleterre avec Isaac Newton.,fr
"Em 1808, aceitava-se a ideia de que os compostos possuíam composições fixadas.",pt
"Isso significa que as definições devem ser absolutamente inequívocas e as provas devem ser redutíveis a uma sucessão de aplicações de regras de inferência,[g] sem qualquer uso de evidência empírica e intuição.",pt
The similarities among all known present-day species indicate that they have diverged through the process of evolution from their common ancestor.,en
"Cependant, depuis le début du XXe siècle, des expériences de physique nucléaire ont mis en évidence l'existence d'une structure complexe pour le noyau atomique.",fr
"(3) Equilíbrios energéticos de acordo com a mecânica quântica, especialidade científica que postula a existência de regiões do espaço do átomo, chamadas orbitais e distribuídas em níveis, nas quais se organizam seus elétrons em pares ou isoladamente.",pt
Eventi multipli di speciazione creano un sistema strutturato ad albero di relazioni tra le specie (Albero filogenetico).,it
"Kemiska reaktioner kan antingen vara spontana och inte behöva någon tillsats av energi, eller icke-spontana, som då inträffar endast efter tillsats av någon typ av energi, exempelvis värme, ljus eller elektricitet.",sv
"En sten kan ikke flyve
2.",da
"Имел место ещё в IV—III веках до н. э. на Востоке (в Индии, Китае, в арабском мире) ранний „прототип“ алхимии.",ru
Los enlaces son las uniones entre átomos para formar moléculas.,es
Τις δεκαετίες 1940-1950 από έρευνες διαπιστώθηκε ότι το DNA που είναι συστατικό των χρωμοσωμάτων όπου βρίσκονται οι κληρονομικές μονάδες που ονομάστηκαν γονίδια.,el
"Информация о филогенезе накапливается из разных источников, в частности, путём сравнения последовательностей ДНК или ископаемых остатков и следов древних организмов.",ru
"The changes were so fundamental that these new concepts became the foundation of ""modern physics"", with other topics becoming ""classical physics"".",en
في مركبات بسيطة عديدة، نظرية التكافؤ ومبدأ عدد التأكسد يمكن استخدامهما للتنبؤ بالتركيب الجزيئي.,ar
Kemisk jämvikt uppkommer när fler än en möjlig kemisk förening är möjlig.,sv
"Werner menade att alla bergarter, förutom ett mindre antal yngre lavabergarter och några som bildats på kemisk väg, var avsatta som sediment i havet.",sv
"In multicellular organisms, every cell in the organism's body is derived ultimately from a single cell in a fertilized egg.",en
"Metabolizma, bir organizmadaki kimyasal reaksiyonlar bütünüdür.",tr
"2
−


−
121


=
(
2
−


−
1



)

3




{\displaystyle 2-{\sqrt {-121}}=(2-{\sqrt {-1}})^{3}}",da
"கணிதம் (Math அல்லது Maths) இலக்கங்களும், அதன் செய்முறைகளும் (கூட்டல், கழித்தல், பெருக்கல், பிரித்தல்), அத்துடன் உருவ அமைப்புக்களும் (shapes) மட்டுமல்லாது விஞ்ஞான ஆராய்ச்சிகளுடனும், அதன் பிரயோகங்களுடனும் தொடர்ச்சியாக வளர்ந்து வரும் ஓர் அறிவியல் சாதனமாகும்.",ta
"The definition of chemistry has changed over time, as new discoveries and theories add to the functionality of the science.",en
"Apesar dessas e de outras medidas aparentemente extremas, a alquimia não morreu.",pt
"In the early 19th century, biologists pointed to the central importance of the cell.",en
"Like groupings such as algae, invertebrates, or protozoans, the protist grouping is not a formal taxonomic group but is used for convenience.",en
பொருண்ம விசையியல் மற்றும் பாய்ம இயந்திரவியல் எனவும் வகைப்படுத்தலாம்.,ta
Открыт Д. И. Менделеевым 1 марта 1869 года.,ru
La geología del petróleo es la rama de la geología que estudia todos los aspectos relacionados con la formación de yacimientos petrolíferos y su prospección.,es
"Bu teoriye göre; farklı elementlerin atomları, farklı ağırlıklara sahiptir.",tr
"കൂടാതെ ഇവയുടെ ഘടന, ഘടകങ്ങൾ, ഗുണങ്ങൾ,  ദൈനംദിനജീവിതത്തിൽ കാണപ്പെടുന്ന വിവിധ വസ്തുക്കളായി രൂപാന്തരം പ്രാപിക്കുന്നതിനുള്ള പ്രവർത്തനങ്ങൾ എന്നിവയൊക്കെ രസതന്ത്രത്തിന്റെ പഠനവിഷയങ്ങളാണ്‌.",ml
"Avec le temps, la théorie originelle de Darwin a été affinée avec les résultats des expériences et observations que les biologistes ont effectuées.",fr
"A seconda dello stato di aggregazione, si parla di ""fase solida"", ""fase liquida"" o ""fase aeriforme"".",it
"Kozmologlar yakın dönemde evrenin gelişmesini açıklamak için, kozmik genişleme, karanlık enerji ve kara madde faktörlerini içeren ΛCDM modelini geliştirmişlerdir.",tr
"Depuis le début du XXIe siècle, la chimie organique a fait appel à l'informatique pour pouvoir modéliser les molécules en trois dimensions : il s'avère que la forme d'une macromolécule en biologie est variable et détermine son action.",fr
Fysiken har ofta utvecklats tillsammans med sina tillämpningar.,sv
"Это определение Ф. Энгельса; правда, далее Колмогоров поясняет, что все использованные термины надо понимать в самом расширенном и абстрактном смысле:476,477.",ru
Flera lärda ansåg i denna tid att det fanns sätt att omvandla billigare (bas-)metaller till guld.,sv
"Max Planck, Erwin Schrödinger ve diğerlerinin atomik ve atom altı boyutlardaki sistemleri açıklamak için parçacıkların ve etkileşimlerin olasılıksal algılanışını içeren kuantum mekaniğini ortaya atmaları ile çok küçük boyutlardaki sistemleri deneylerle tutarlı bir biçimde açıklayabiliyoruz.",tr
"Analisa suas relações e propriedades, além de descrever e explicar a maior parte de suas consequências.",pt
Deze stellingen uit 1931 tonen aan dat een voldoende sterk axiomatisch raamwerk automatisch onbewijsbare stellingen in zich heeft en dat de eigen consistentie daar een van is.,nl
அதாவது வினையின் விளைவாக நிகழும் இடைவினை மாற்றங்கள் சோதனை மூலம் உணரப்படக்கூடியதாக இருக்கவேண்டும் என்ற கருத்து வரையறையுடன் சேர்க்கப்பட்டது.இவ்வாறு உணரக்கூடிய வகையில் நிகழும் வேதிவினைகள் பொதுவாக வரையறையில் குறிப்பிட்டுள்ளவாறு மூலக்கூறுகளின் தொகுதிகள் வினையில் பங்கேற்பதை மட்டும் உறுதி செய்கின்றன.,ta
"In education, mathematics is a core part of the curriculum and forms an important element of the STEM academic disciplines.",en
"Andre geologer vælger, i forlængelse af Aktualitetsprincippet at undersøge, hvordan geologiske processer i vore dage finder sted, fx i floder, i havet og i gletsjere, mens endnu andre forsker i grænseområdet mellem ydre og indre processer",da
تنشأ جميع الخلايا من خلايا أخرى بواسطة عملية الانقسام الخلوي، حيث يعود أصل كل خلية في جسم الكائن الحي متعدد الخلايا من خلية واحدة في البيضة المُخصبة.,ar
